------- ELASTODYN V1.00.* INDIVIDUAL BLADE INPUT FILE --------------------------
Generated with AeroElasticSE FAST driver
---------------------- BLADE PARAMETERS ----------------------------------------
30                     NBlInpSt    - Number of blade input stations (-)
3.0                    BldFlDmp1   - Blade flap mode #1 structural damping in percent of critical (%)
8.4                    BldFlDmp2   - Blade flap mode #2 structural damping in percent of critical (%)
3.0                    BldEdDmp1   - Blade edge mode #1 structural damping in percent of critical (%)
---------------------- BLADE ADJUSTMENT FACTORS --------------------------------
1.0                    FlStTunr1   - Blade flapwise modal stiffness tuner, 1st mode (-)
1.0                    FlStTunr2   - Blade flapwise modal stiffness tuner, 2nd mode (-)
1.0                    AdjBlMs     - Factor to adjust blade mass density (-)
1.0                    AdjFlSt     - Factor to adjust blade flap stiffness (-)
1.0                    AdjEdSt     - Factor to adjust blade edge stiffness (-)
---------------------- DISTRIBUTED BLADE PROPERTIES ----------------------------
3.585000000000000e-01  3.504513461107303e-01  4.232017894333304e+00  4.567381392680632e+02  3.693174424760139e+09  7.871063205316656e+09
3.973333333333333e-01  3.661171246266368e-01  3.674051782573720e+00  4.219833295890340e+02  2.923651504854866e+09  6.073019683512039e+09
4.361666666666666e-01  3.856792178508174e-01  3.124223688246361e+00  3.887549794842733e+02  2.247124836143054e+09  4.583024828992414e+09
4.750000000000000e-01  4.061581632167025e-01  2.520995633620818e+00  3.570994403833122e+02  1.671947907789597e+09  3.412509011507747e+09
4.950000000000000e-01  4.166405706422849e-01  2.187492508175419e+00  3.488826214953678e+02  1.420504487272550e+09  2.866300260801998e+09
5.400000000000000e-01  4.403630434282753e-01  1.394414824374202e+00  3.128847366092650e+02  9.082523502403450e+08  1.996729654104308e+09
5.850000000000000e-01  4.624747481208422e-01  5.725076672315241e-01  2.799580331446235e+02  5.514409773541319e+08  1.393601185856432e+09
6.183333333333333e-01  4.772452064525183e-01 -3.588217176456942e-02  2.576230096498588e+02  3.793476665018163e+08  1.071553284940715e+09
6.516666666666667e-01  4.908635331359023e-01 -6.290208952603363e-01  2.364482702214819e+02  2.584255718945144e+08  8.224286386928254e+08
6.850000000000001e-01  5.023703425030995e-01 -1.191274325632041e+00  2.162306873482250e+02  1.797811085771819e+08  6.305741595653858e+08
7.192857142857143e-01  5.123875670312642e-01 -1.724963944545615e+00  1.956402759894390e+02  1.257124798056519e+08  4.836632856878891e+08
7.535714285714287e-01  5.209471925792304e-01 -2.200170321437034e+00  1.741399296738910e+02  8.703367463714577e+07  3.699341809747592e+08
7.878571428571428e-01  5.249698075913206e-01 -2.599143099109191e+00  1.529234818379208e+02  6.093642715299392e+07  2.824148520687689e+08
8.221428571428572e-01  5.268692568202075e-01 -2.913422190371387e+00  1.317678989021071e+02  4.259600062802733e+07  2.138542416357527e+08
8.564285714285715e-01  5.237167830978146e-01 -3.111734791091177e+00  1.106202083690210e+02  2.986371108498330e+07  1.589621420114232e+08
8.907142857142858e-01  5.159577020642367e-01 -3.148325664284016e+00  8.914736523504099e+01  2.050479177671133e+07  1.134487278709551e+08
9.250000000000000e-01  5.017901883686476e-01 -2.940165408453992e+00  6.710862085813966e+01  1.268300022443162e+07  7.382430261070356e+07
9.625000000000000e-01  4.786759778913993e-01 -2.145683842246453e+00  3.713875691182454e+01  4.508129464852877e+06  3.126611740164744e+07
1.000000000000000e+00  4.460000000000000e-01 -3.724225668350317e-02  7.031477777994573e-01  2.228061529742853e+02  5.540432561483892e+03
---------------------- BLADE MODE SHAPES ---------------------------------------
-0.4397370899592735    BldFl1Sh(2) - Flap mode 1, coeff of x^2
5.334006355405725      BldFl1Sh(3) -            , coeff of x^3
-14.034348502644898    BldFl1Sh(4) -            , coeff of x^4
17.041739804716727     BldFl1Sh(5) -            , coeff of x^5
-6.901660567518281     BldFl1Sh(6) -            , coeff of x^6
-0.6664496730672558    BldFl2Sh(2) - Flap mode 2, coeff of x^2
6.656489295722258      BldFl2Sh(3) -            , coeff of x^3
-20.44730929194196     BldFl2Sh(4) -            , coeff of x^4
26.02025807354013      BldFl2Sh(5) -            , coeff of x^5
-10.562988404253174    BldFl2Sh(6) -            , coeff of x^6
0.0414391346245835     BldEdgSh(2) - Edge mode 1, coeff of x^2
2.310876748420254      BldEdgSh(3) -            , coeff of x^3
-4.285764772501938     BldEdgSh(4) -            , coeff of x^4
4.969579054544081      BldEdgSh(5) -            , coeff of x^5
-2.0361301650869805    BldEdgSh(6) -            , coeff of x^6
